tank,date,rf,group,period
T001,2023-05-02,0.9097516180912988,test,before
T001,2023-05-03,0.913297663881676,test,before
T001,2023-05-04,0.8901741508836108,test,before
T001,2023-05-05,0.8818560888658433,test,before
T001,2023-05-06,0.886571418386414,test,before
T001,2023-05-07,0.8945383234297866,test,before
T001,2023-05-08,0.910174602521636,test,before
T001,2023-05-09,0.91188323521499,test,before
T001,2023-05-10,0.8777320971059839,test,before
T001,2023-05-11,0.8978839039878389,test,before
T001,2023-05-12,0.8941504520106874,test,before
T001,2023-05-13,0.8863383243035655,test,before
T001,2023-05-14,0.8822486265780836,test,before
T001,2023-05-15,0.8909586187408814,test,before
T001,2023-05-16,0.9151704000412371,test,before
T001,2023-05-17,0.8903821291655665,test,before
T001,2023-05-18,0.898205636754471,test,before
T001,2023-05-19,0.9055747702405434,test,before
T001,2023-05-20,0.8919991959799081,test,before
T001,2023-05-21,0.9163252951935748,test,before
T001,2023-05-22,0.9159519036824207,test,before
T001,2023-05-23,0.8875253037177508,test,before
T001,2023-05-24,0.8973439521204317,test,before
T001,2023-05-25,0.8894891442774071,test,before
T001,2023-05-26,0.8888476316598349,test,before
T001,2023-05-27,0.8789294897789176,test,before
T001,2023-05-28,0.9018365852439322,test,before
T001,2023-05-29,0.8975611728138907,test,before
T001,2023-05-30,0.8795131619347358,test,before
T001,2023-05-31,0.8885998704542007,test,before
T001,2023-06-01,0.9537846473234024,test,after
T001,2023-06-02,0.9270364875114151,test,after
T001,2023-06-03,0.9232498067683851,test,after
T001,2023-06-04,0.9370321222958388,test,after
T001,2023-06-05,0.9568800300491602,test,after
T001,2023-06-06,0.9271362227451962,test,after
T001,2023-06-07,0.9443394337809713,test,after
T001,2023-06-08,0.9479187964978849,test,after
T001,2023-06-09,0.9269595136444322,test,after
T001,2023-06-10,0.9465826658292106,test,after
T001,2023-06-11,0.9321653371935064,test,after
T001,2023-06-12,0.9427462451084794,test,after
T001,2023-06-13,0.9427952003151719,test,after
T001,2023-06-14,0.9388849992477265,test,after
T001,2023-06-15,0.9210656026869125,test,after
T001,2023-06-16,0.9508661117083057,test,after
T001,2023-06-17,0.9302852144836057,test,after
T001,2023-06-18,0.9249147523007304,test,after
T001,2023-06-19,0.9190850175469267,test,after
T001,2023-06-20,0.9410897296122659,test,after
T001,2023-06-21,0.9445565863584275,test,after
T001,2023-06-22,0.9181175250418504,test,after
T001,2023-06-23,0.9379377342167075,test,after
T001,2023-06-24,0.9265138428926537,test,after
T001,2023-06-25,0.9432609235011142,test,after
T001,2023-06-26,0.9244286690449358,test,after
T001,2023-06-27,0.9450915214088348,test,after
T001,2023-06-28,0.9329234257367577,test,after
T001,2023-06-29,0.9549232114342056,test,after
T001,2023-06-30,0.922954849650576,test,after
T002,2023-05-02,0.948714084683002,test,before
T002,2023-05-03,0.9396103714906152,test,before
T002,2023-05-04,0.9720591753721342,test,before
T002,2023-05-05,0.9701650047762309,test,before
T002,2023-05-06,0.9453890957495978,test,before
T002,2023-05-07,0.9614707924823588,test,before
T002,2023-05-08,0.9677603186490403,test,before
T002,2023-05-09,0.9572794631049701,test,before
T002,2023-05-10,0.9562574537752319,test,before
T002,2023-05-11,0.9447455222770097,test,before
T002,2023-05-12,0.9387955413532276,test,before
T002,2023-05-13,0.9709600609591247,test,before
T002,2023-05-14,0.9710881529275248,test,before
T002,2023-05-15,0.9603954889319224,test,before
T002,2023-05-16,0.9486326222829397,test,before
T002,2023-05-17,0.949039813625498,test,before
T002,2023-05-18,0.9641096577958013,test,before
T002,2023-05-19,0.9709558410390947,test,before
T002,2023-05-20,0.9705548876115964,test,before
T002,2023-05-21,0.9662664524752966,test,before
T002,2023-05-22,0.9607526964871631,test,before
T002,2023-05-23,0.9384370292407936,test,before
T002,2023-05-24,0.9415365792047762,test,before
T002,2023-05-25,0.9710135981820748,test,before
T002,2023-05-26,0.9593285930273753,test,before
T002,2023-05-27,0.9354393127056568,test,before
T002,2023-05-28,0.939130292355633,test,before
T002,2023-05-29,0.9616115014053139,test,before
T002,2023-05-30,0.9352738939948404,test,before
T002,2023-05-31,0.9415037526976916,test,before
T002,2023-06-01,0.997020782215655,test,after
T002,2023-06-02,1.0027472385486993,test,after
T002,2023-06-03,1.0011498810210957,test,after
T002,2023-06-04,0.9840422030194139,test,after
T002,2023-06-05,1.003558599494893,test,after
T002,2023-06-06,0.9845613941408635,test,after
T002,2023-06-07,0.9880874185673623,test,after
T002,2023-06-08,1.0049310868457126,test,after
T002,2023-06-09,1.0010567466028801,test,after
T002,2023-06-10,1.0090403670607586,test,after
T002,2023-06-11,1.0013759463330052,test,after
T002,2023-06-12,0.9978037747744104,test,after
T002,2023-06-13,0.9788184213541152,test,after
T002,2023-06-14,0.9897800627633689,test,after
T002,2023-06-15,0.9856795253482606,test,after
T002,2023-06-16,0.9848310163761549,test,after
T002,2023-06-17,1.0139918528310894,test,after
T002,2023-06-18,0.990795339627662,test,after
T002,2023-06-19,1.010753292848076,test,after
T002,2023-06-20,1.000316975680882,test,after
T002,2023-06-21,1.0068638827826575,test,after
T002,2023-06-22,0.9951769143651993,test,after
T002,2023-06-23,0.9981475860260459,test,after
T002,2023-06-24,0.9947721383937461,test,after
T002,2023-06-25,0.9828811501529133,test,after
T002,2023-06-26,1.0039695152514518,test,after
T002,2023-06-27,0.9863023251386258,test,after
T002,2023-06-28,0.9760440692982497,test,after
T002,2023-06-29,1.0008903224772783,test,after
T002,2023-06-30,0.9821558578172735,test,after
T003,2023-05-02,0.9508177375552571,test,before
T003,2023-05-03,0.951356537261244,test,before
T003,2023-05-04,0.9497939697899584,test,before
T003,2023-05-05,0.9280057421913582,test,before
T003,2023-05-06,0.9138176588422952,test,before
T003,2023-05-07,0.9503321366846496,test,before
T003,2023-05-08,0.9303267601138331,test,before
T003,2023-05-09,0.9518655869428873,test,before
T003,2023-05-10,0.9517441932647106,test,before
T003,2023-05-11,0.9473197723998349,test,before
T003,2023-05-12,0.9249773498639239,test,before
T003,2023-05-13,0.9286033033252176,test,before
T003,2023-05-14,0.9472448610418148,test,before
T003,2023-05-15,0.9258762743873916,test,before
T003,2023-05-16,0.9199791040485842,test,before
T003,2023-05-17,0.9354714446794745,test,before
T003,2023-05-18,0.9506455851475717,test,before
T003,2023-05-19,0.9410405860481394,test,before
T003,2023-05-20,0.9360018409847151,test,before
T003,2023-05-21,0.9170864539319712,test,before
T003,2023-05-22,0.9377996832491073,test,before
T003,2023-05-23,0.952801548185311,test,before
T003,2023-05-24,0.9188027547906015,test,before
T003,2023-05-25,0.9339325802756899,test,before
T003,2023-05-26,0.9482943170582587,test,before
T003,2023-05-27,0.9428301388913087,test,before
T003,2023-05-28,0.9410800238209512,test,before
T003,2023-05-29,0.9412987575406249,test,before
T003,2023-05-30,0.9275790402299308,test,before
T003,2023-05-31,0.9249430679517202,test,before
T003,2023-06-01,0.985573840400281,test,after
T003,2023-06-02,0.9856039299683077,test,after
T003,2023-06-03,0.9878822869243445,test,after
T003,2023-06-04,0.9897290162833993,test,after
T003,2023-06-05,0.973653090135578,test,after
T003,2023-06-06,0.9732600459686284,test,after
T003,2023-06-07,0.9851312013398115,test,after
T003,2023-06-08,0.9791979514122511,test,after
T003,2023-06-09,0.9812780692714486,test,after
T003,2023-06-10,0.9850311009585845,test,after
T003,2023-06-11,0.9887996078538431,test,after
T003,2023-06-12,0.9667192004552019,test,after
T003,2023-06-13,0.9682227122867382,test,after
T003,2023-06-14,0.9569586717747752,test,after
T003,2023-06-15,0.9763305998209874,test,after
T003,2023-06-16,0.9546370851330102,test,after
T003,2023-06-17,0.9718233149064388,test,after
T003,2023-06-18,0.9749051795694434,test,after
T003,2023-06-19,0.9646610442662719,test,after
T003,2023-06-20,0.9768327246039009,test,after
T003,2023-06-21,0.9544194041787024,test,after
T003,2023-06-22,0.954693321731109,test,after
T003,2023-06-23,0.9861034166075268,test,after
T003,2023-06-24,0.9676070198375909,test,after
T003,2023-06-25,0.9582818146872158,test,after
T003,2023-06-26,0.9740891245833326,test,after
